"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"east of england";"MMR";2;2010;0;0.7162131721584;0.8337229212;0.8337229212;0.8337229212
"east of england";"MMR";2;2011;0;0.74712462118974;0.845189016;0.845189016;0.845189016
"east of england";"MMR";2;2012;0;0.75863409153474;0.8689516413;0.8689516413;0.8689516413
"east of england";"MMR";2;2013;0;0.84026740303727;0.8902066317;0.8902066317;0.8902066317
"east of england";"MMR";2;2014;0;0.83505706268891;0.8989701541;0.8989701541;0.8989701541
"east of england";"MMR";2;2015;0;0.84919646538639;0.9077693909;0.9077693909;0.9077693909
"east of england";"MMR";2;2016;0;0.85051638498684;0.9069704853;0.9069704853;0.9069704853
"east of england";"MMR";2;2017;0;0.85145675143444;0.8969799462;0.8969799462;0.8969799462
"east of england";"MMR";2;2018;0;0.84191218456666;0.8977823191;0.8977823191;0.8977823191
"east of england";"MMR";2;2019;0;0.85322585485414;0.8814911366;0.8814911366;0.8814911366
"london";"MMR";1;2005;0.650625;0.714;0.736634453089761;0.771250979318237;0.794770645192841
"london";"MMR";1;2006;0.655875;0.735;0.740127628432818;0.752623699819576;0.774903948336467
"london";"MMR";1;2007;0.5904;0.749;0.782814679551311;0.751531131480991;0.7567799954894
"london";"MMR";1;2008;0.65355;0.742;0.81936680265808;0.803683578747916;0.754495394347207
"london";"MMR";1;2009;0.65445;0.763;0.83210987355836;0.85007866197072;0.809108306806124
"london";"MMR";1;2010;0.6711;0.8189137731;0.85016625281656;0.87143867144124;0.8580620004
"london";"MMR";1;2011;0.6849;0.8375078546;0.87704713226251;0.87977115018307;0.8816619243
"london";"MMR";1;2012;0.6885;0.8608476138;0.88357368943976;0.89603104943036;0.8970194539
"london";"MMR";1;2013;0.688725;0.8713818968;0.89404661889909;0.89926667357054;0.9057966892
"london";"MMR";1;2014;0.6843;0.8746408509;0.898156040924;0.90322166699442;0.906427416
"london";"MMR";1;2015;0.6747;0.8729041686;0.89852893289008;0.90646092929184;0.9069765635
